Project_ID,Description,Risk_Types
1515,"This is a Residential project in Sandraton, Uganda. Budget: 90.4M, Timeline: 60 months, Past Incidents: 4. The team is experienced. located in a high-risk area unproven subcontractors","Safety,Quality Issue"
1516,"This is a Commercial project in Lake Lisamouth, Kuwait. Budget: 21.4M, Timeline: 28 months, Past Incidents: 2. The team is experienced. may face permitting delays contingency budget is low high carbon footprint","Delay,Budget Overrun,Environmental"
1517,"This is a Residential project in Port John, Cote d'Ivoire. Budget: 7.3M, Timeline: 50 months, Past Incidents: 4. The project follows standard practices. dependent on weather conditions scope creep is likely","Delay,Budget Overrun"
1518,"This is a Mixed-Use project in Johnsonville, Brazil. Budget: 39.3M, Timeline: 7 months, Past Incidents: 2. Stakeholders are actively involved. waste management challenges",Environmental
1519,"This is a Commercial project in Bobbyport, Kuwait. Budget: 97.2M, Timeline: 27 months, Past Incidents: 5. The project is well-planned. requires working at heights uncertain cost estimates","Safety,Budget Overrun"
1520,"This is a Residential project in Kevinchester, Palestinian Territory. Budget: 81.6M, Timeline: 27 months, Past Incidents: 2. Stakeholders are actively involved. involves heavy machinery potential supply chain disruptions","Safety,Delay"
1521,"This is a Mixed-Use project in Gregoryport, Brunei Darussalam. Budget: 73.0M, Timeline: 29 months, Past Incidents: 0. The project is well-planned. involves heavy machinery has a tight deadline unproven subcontractors high carbon footprint","Safety,Delay,Quality Issue,Environmental"
1522,"This is a Industrial project in West Robert, Syrian Arab Republic. Budget: 95.6M, Timeline: 37 months, Past Incidents: 2. The team is experienced. located in a high-risk area complex scheduling required material prices are volatile","Safety,Delay,Budget Overrun"
1523,"This is a Infrastructure project in Port Valerie, Palau. Budget: 43.7M, Timeline: 46 months, Past Incidents: 3. The team is experienced. potential supply chain disruptions",Delay
1524,"This is a Infrastructure project in East Matthewberg, Marshall Islands. Budget: 85.2M, Timeline: 36 months, Past Incidents: 2. The project is well-planned. tight quality control needed potential for soil contamination","Quality Issue,Environmental"
1525,"This is a Infrastructure project in New Lisamouth, Malawi. Budget: 28.9M, Timeline: 21 months, Past Incidents: 2. The project follows standard practices. involves heavy machinery dependent on weather conditions","Safety,Delay"
1526,"This is a Residential project in Port Kayla, Palestinian Territory. Budget: 1.3M, Timeline: 33 months, Past Incidents: 1. Stakeholders are actively involved. requires working at heights has a tight deadline currency exchange risks high precision required","Safety,Delay,Budget Overrun,Quality Issue"
1527,"This is a Industrial project in New Benjaminmouth, Nauru. Budget: 25.4M, Timeline: 12 months, Past Incidents: 4. Stakeholders are actively involved. unproven subcontractors",Quality Issue
1528,"This is a Industrial project in Davisburgh, United Arab Emirates. Budget: 34.8M, Timeline: 20 months, Past Incidents: 2. The project follows standard practices. potential supply chain disruptions scope creep is likely potential for soil contamination","Delay,Budget Overrun,Environmental"
1529,"This is a Industrial project in Benitezville, Mayotte. Budget: 25.7M, Timeline: 29 months, Past Incidents: 1. The team is experienced. requires working at heights",Safety
1530,"This is a Industrial project in Dunnchester, Paraguay. Budget: 60.5M, Timeline: 17 months, Past Incidents: 1. The team is experienced. involves heavy machinery high precision required located in a sensitive ecosystem","Safety,Quality Issue,Environmental"
1531,"This is a Industrial project in Lambtown, Italy. Budget: 28.0M, Timeline: 6 months, Past Incidents: 0. The project follows standard practices. material prices are volatile high precision required","Budget Overrun,Quality Issue"
1532,"This is a Mixed-Use project in Cynthiaburgh, Central African Republic. Budget: 4.9M, Timeline: 19 months, Past Incidents: 1. The project follows standard practices. uses new construction techniques",Quality Issue
1533,"This is a Industrial project in West Peter, Bermuda. Budget: 87.6M, Timeline: 49 months, Past Incidents: 2. The team is experienced. requires working at heights currency exchange risks high precision required","Safety,Budget Overrun,Quality Issue"
1534,"This is a Mixed-Use project in South Karla, Gabon. Budget: 54.4M, Timeline: 45 months, Past Incidents: 1. Stakeholders are actively involved. requires working at heights complex design","Safety,Quality Issue"
1535,"This is a Industrial project in New Patriciaton, Jersey. Budget: 19.4M, Timeline: 42 months, Past Incidents: 2. The project follows standard practices. high carbon footprint",Environmental
1536,"This is a Mixed-Use project in South Larryshire, Jersey. Budget: 91.3M, Timeline: 18 months, Past Incidents: 2. The team is experienced. has a tight deadline waste management challenges","Delay,Environmental"
1537,"This is a Commercial project in Crystalburgh, Greenland. Budget: 71.9M, Timeline: 49 months, Past Incidents: 1. Stakeholders are actively involved. located in a high-risk area may face permitting delays uncertain cost estimates high carbon footprint","Safety,Delay,Budget Overrun,Environmental"
1538,"This is a Industrial project in Webbchester, United States Virgin Islands. Budget: 91.4M, Timeline: 34 months, Past Incidents: 5. The team is experienced. needs strict safety protocols complex scheduling required high precision required strict environmental regulations","Safety,Delay,Quality Issue,Environmental"
1539,"This is a Residential project in North Adamfort, Trinidad and Tobago. Budget: 61.0M, Timeline: 8 months, Past Incidents: 4. The project follows standard practices. currency exchange risks",Budget Overrun
1540,"This is a Residential project in South Carlton, Belarus. Budget: 49.1M, Timeline: 19 months, Past Incidents: 1. The team is experienced. involves heavy machinery dependent on weather conditions","Safety,Delay"
1541,"This is a Residential project in Tylershire, India. Budget: 66.0M, Timeline: 12 months, Past Incidents: 2. The team is experienced. may face permitting delays scope creep is likely","Delay,Budget Overrun"
1542,"This is a Mixed-Use project in Goodmanhaven, Belarus. Budget: 74.0M, Timeline: 58 months, Past Incidents: 0. Stakeholders are actively involved. requires working at heights",Safety
1543,"This is a Infrastructure project in Tonyaberg, Poland. Budget: 84.7M, Timeline: 17 months, Past Incidents: 5. The team is experienced. contingency budget is low strict environmental regulations","Budget Overrun,Environmental"
1544,"This is a Mixed-Use project in East Earlmouth, Anguilla. Budget: 70.4M, Timeline: 40 months, Past Incidents: 0. Stakeholders are actively involved. has a tight deadline currency exchange risks uses new construction techniques","Delay,Budget Overrun,Quality Issue"
1545,"This is a Infrastructure project in Port Briannachester, Peru. Budget: 33.5M, Timeline: 31 months, Past Incidents: 1. Stakeholders are actively involved. needs strict safety protocols",Safety
1546,"This is a Industrial project in Lake Brenda, Bermuda. Budget: 52.8M, Timeline: 31 months, Past Incidents: 4. The project follows standard practices. located in a high-risk area high carbon footprint","Safety,Environmental"
1547,"This is a Industrial project in South Fredton, Romania. Budget: 85.3M, Timeline: 29 months, Past Incidents: 1. The project follows standard practices. material prices are volatile strict environmental regulations","Budget Overrun,Environmental"
1548,"This is a Residential project in South Curtis, Ghana. Budget: 89.9M, Timeline: 39 months, Past Incidents: 5. The project is well-planned. dependent on weather conditions",Delay
1549,"This is a Infrastructure project in Hollandside, Turks and Caicos Islands. Budget: 2.4M, Timeline: 56 months, Past Incidents: 5. Stakeholders are actively involved. complex scheduling required uses new construction techniques high carbon footprint","Delay,Quality Issue,Environmental"
1550,"This is a Commercial project in North Gary, Monaco. Budget: 50.4M, Timeline: 47 months, Past Incidents: 5. The team is experienced. has potential for accidents complex scheduling required material prices are volatile","Safety,Delay,Budget Overrun"
1551,"This is a Infrastructure project in Melendeztown, Austria. Budget: 26.6M, Timeline: 24 months, Past Incidents: 4. Stakeholders are actively involved. may face permitting delays high carbon footprint","Delay,Environmental"
1552,"This is a Residential project in Hillchester, Congo. Budget: 3.1M, Timeline: 58 months, Past Incidents: 1. The team is experienced. has potential for accidents dependent on weather conditions","Safety,Delay"
1553,"This is a Industrial project in West Amanda, Jordan. Budget: 23.9M, Timeline: 26 months, Past Incidents: 3. The project follows standard practices. high precision required potential for soil contamination","Quality Issue,Environmental"
1554,"This is a Industrial project in North Danielburgh, Serbia. Budget: 2.7M, Timeline: 6 months, Past Incidents: 3. The project follows standard practices. has potential for accidents",Safety
1555,"This is a Industrial project in Chavezberg, Indonesia. Budget: 80.2M, Timeline: 53 months, Past Incidents: 2. The project is well-planned. involves heavy machinery potential supply chain disruptions uncertain cost estimates tight quality control needed","Safety,Delay,Budget Overrun,Quality Issue"
1556,"This is a Mixed-Use project in Port Michelleburgh, Ghana. Budget: 88.9M, Timeline: 34 months, Past Incidents: 5. Stakeholders are actively involved. involves heavy machinery potential supply chain disruptions currency exchange risks","Safety,Delay,Budget Overrun"
1557,"This is a Commercial project in West Robertburgh, New Caledonia. Budget: 96.4M, Timeline: 50 months, Past Incidents: 1. The project follows standard practices. currency exchange risks",Budget Overrun
1558,"This is a Commercial project in West Karenbury, Tunisia. Budget: 84.2M, Timeline: 30 months, Past Incidents: 5. Stakeholders are actively involved. scope creep is likely strict environmental regulations","Budget Overrun,Environmental"
1559,"This is a Commercial project in East Brianland, Saint Helena. Budget: 82.4M, Timeline: 47 months, Past Incidents: 4. The team is experienced. currency exchange risks uses new construction techniques","Budget Overrun,Quality Issue"
1560,"This is a Infrastructure project in West Rileyfurt, Bulgaria. Budget: 91.9M, Timeline: 36 months, Past Incidents: 1. The project is well-planned. located in a high-risk area has a tight deadline uses new construction techniques","Safety,Delay,Quality Issue"
